1	151	168	173	171
2	134	118	144	103
3	101	101	100	115
4	85	93	75	84
5	67	48	59	86
6	65	72	50	61
7	42	46	61	44
8	53	48	44	44
9	36	42	45	42
10	33	37	34	33
11	28	31	21	31
12	28	11	24	30
13	25	27	19	46
14	26	20	22	27
15	24	21	24	16
16	24	21	11	17
17	27	26	16	23
18	17	16	18	16
19	17	20	15	18
20	30	18	28	14
21	24	19	17	12
22	18	17	15	17
23	24	15	17	23
24	12	19	14	12
25	14	17	14	11
26	20	9	15	11
27	13	12	4	15
28	15	9	16	11
29	12	13	12	13
30	19	14	13	11
31	11	12	10	14
32	15	11	14	8
33	6	8	15	10
34	16	10	12	11
35	17	11	12	11
36	8	9	14	11
37	12	9	19	19
38	10	13	7	12
39	10	12	9	13
40	15	12	4	9
41	5	9	7	11
