1,000	1,000	72,739	34,510
2,000	2,000	40,094	45,270
3,000	3,000	41,289	44,626
4,000	4,001	43,037	43,614
5,000	5,001	43,221	45,086
6,000	6,002	42,301	43,614
7,000	7,002	41,197	44,442
8,000	8,003	41,749	45,178
9,000	9,004	42,301	43,706
10,000	10,005	42,117	42,786
11,000	11,005	44,232	42,142
12,000	12,006	44,508	42,326
13,000	13,006	45,520	41,130
14,000	14,007	44,784	39,197
15,000	15,007	45,703	39,105
16,000	16,007	45,979	40,210
17,000	17,008	44,876	39,197
18,000	18,008	45,244	41,498
19,000	19,009	45,336	41,498
20,000	20,009	44,232	41,774
21,000	21,010	42,393	41,038
22,000	22,010	42,485	42,234
23,000	23,011	42,485	42,694
24,000	24,011	43,313	42,694
25,000	25,012	43,588	42,878
26,000	26,012	41,749	43,154
27,000	27,014	42,025	43,522
28,000	28,014	42,761	43,246
29,000	29,014	40,554	43,246
30,000	30,015	40,002	44,902
31,000	31,016	40,462	46,466
32,000	32,016	40,922	45,454
33,000	33,016	40,278	44,350
34,000	34,017	42,393	45,730
35,000	35,017	42,577	46,098
36,000	36,018	42,117	46,098
37,000	37,018	42,761	46,926
38,000	38,019	39,266	49,503
39,000	39,019	38,715	50,791
40,000	40,020	37,335	53,091
41,000	41,020	36,875	53,643
42,000	42,021	36,875	54,195
43,000	43,021	36,783	54,748
44,000	44,023	36,783	55,392
45,000	45,023	37,427	55,300
46,000	46,024	36,967	53,459
47,000	47,024	37,795	52,631
48,000	48,024	39,450	51,343
49,000	49,025	40,002	51,251
50,000	50,025	39,910	50,791
51,000	51,026	39,818	50,883
52,000	52,026	38,715	51,803
53,000	53,027	37,151	52,631
54,000	54,027	37,795	51,895
55,000	55,028	36,967	52,171
56,000	56,028	37,887	51,803
57,000	57,029	37,703	50,699
58,000	58,029	38,623	49,135
59,000	59,030	38,439	47,387
60,000	60,030	39,723	48,671
61,000	61,030	40,182	48,671
62,000	62,032	40,549	49,038
63,000	63,033	42,017	49,038
64,000	64,033	42,567	46,744
65,000	65,033	43,485	46,836
66,000	66,034	44,035	47,387
67,000	67,034	43,209	46,102
68,000	68,035	40,732	46,286
69,000	69,035	40,549	46,010
70,000	70,036	41,650	45,552
71,000	71,036	40,824	44,542
72,000	72,037	39,264	45,460
73,000	73,037	40,641	46,377
74,000	74,038	41,741	47,295
75,000	75,038	41,374	48,304
76,000	76,038	42,017	48,120
77,000	77,039	42,017	48,763
78,000	78,039	42,108	48,763
79,000	79,041	42,475	50,139
80,000	80,041	43,026	50,689
81,000	81,042	43,118	50,139
82,000	82,042	43,576	50,598
83,000	83,043	43,485	48,763
84,000	84,043	43,485	49,680
85,000	85,044	43,209	49,038
86,000	86,044	41,925	50,598
87,000	87,045	41,191	51,240
88,000	88,045	42,659	50,781
89,000	89,046	42,659	50,965
90,000	90,046	42,567	50,231
91,000	91,047	43,393	48,487
92,000	92,047	43,393	47,754
93,000	93,047	42,567	48,396
94,000	94,048	42,842	47,478
95,000	95,048	43,026	47,203
96,000	96,049	43,393	47,020
97,000	97,050	44,127	47,203
98,000	98,051	44,035	47,754
99,000	99,051	42,200	47,387
100,000	100,052	42,567	46,836
101,000	101,052	42,751	47,570
102,000	102,053	42,292	47,020
103,000	103,053	42,384	46,928
104,000	104,054	41,466	47,111
105,000	105,054	39,540	46,744
106,000	106,055	38,897	45,919
107,000	107,055	38,897	46,377
108,000	108,055	37,980	46,469
109,000	109,056	37,613	45,827
110,000	110,056	38,255	47,020
111,000	111,057	36,420	47,478
112,000	112,057	38,622	47,845
113,000	113,058	36,971	48,946
114,000	114,059	37,705	48,212
115,000	115,060	37,888	48,304
116,000	116,060	36,512	46,653
117,000	117,061	36,329	46,836
118,000	118,061	36,053	47,020
119,000	119,062	37,063	46,286
120,000	120,062	36,879	46,010
121,000	121,062	36,971	45,827
122,000	122,063	36,604	43,992
123,000	123,063	38,714	42,891
124,000	124,064	38,347	43,900
125,000	125,064	38,439	43,900
126,000	126,065	38,255	44,176
127,000	127,065	38,530	43,533
128,000	128,066	39,723	44,818
129,000	129,066	40,916	47,111
130,000	130,067	40,457	47,111
131,000	131,067	41,741	48,120
132,000	132,069	42,567	49,405
133,000	133,069	43,301	49,313
134,000	134,070	44,127	48,763
135,000	135,070	43,852	47,570
136,000	136,070	44,861	46,286
137,000	137,071	45,962	46,010
138,000	138,072	46,053	44,909
139,000	139,072	45,319	44,726
140,000	140,072	44,402	45,827
141,000	141,073	42,659	45,827
142,000	142,073	41,925	45,643
143,000	143,074	39,723	47,203
144,000	144,074	40,732	47,203
145,000	145,075	42,384	46,194
146,000	146,075	43,026	45,093
147,000	147,076	43,209	45,552
148,000	148,076	45,136	45,919
149,000	149,078	44,769	45,919
150,000	150,078	45,686	47,937
151,000	151,079	43,943	47,295
152,000	152,079	43,393	46,928
153,000	153,079	42,384	45,276
154,000	154,080	42,108	45,093
155,000	155,080	42,842	46,286
156,000	156,081	42,475	47,662
157,000	157,081	44,310	47,478
158,000	158,082	46,329	46,744
159,000	159,082	46,420	46,194
160,000	160,083	46,971	47,111
161,000	161,083	46,053	47,754
162,000	162,084	46,787	47,295
163,000	163,084	47,521	46,836
164,000	164,085	48,530	48,671
165,000	165,085	47,797	49,130
166,000	166,086	49,356	50,047
167,000	167,087	47,705	49,680
168,000	168,087	46,329	48,763
169,000	169,088	46,512	48,854
170,000	170,088	47,705	47,295
171,000	171,089	47,338	46,469
172,000	172,089	45,778	46,469
173,000	173,090	45,044	46,010
174,000	174,090	45,136	45,185
175,000	175,091	45,686	45,276
176,000	176,091	46,971	44,818
177,000	177,092	45,319	44,542
178,000	178,092	45,595	45,001
179,000	179,093	44,402	46,928
180,000	180,093	44,035	47,387
181,000	181,094	42,475	48,029
182,000	182,094	43,393	48,854
183,000	183,095	44,677	48,396
184,000	184,096	47,246	47,387
185,000	185,096	46,053	48,212
186,000	186,097	44,861	48,212
187,000	187,097	44,219	48,212
188,000	188,098	43,301	48,212
189,000	189,098	43,026	48,212
190,000	190,099	45,044	48,120
191,000	191,099	45,870	48,212
192,000	192,100	46,696	48,396
193,000	193,100	46,879	49,405
194,000	194,101	46,420	49,588
